nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,8.5e-06,7.88368,0,0,0,0,0,,
1,0,8.5e-06,814.547,0,0,0,0,0,,
2,0,8.5e-06,78.1467,0,0,0,0,0,,
3,0,8.5e-06,389.23,0,0,0,0,0,,
4,0,8.5e-06,389.23,0,0,0,0,0,,
5,0,8.5e-06,38.523,0,0,0,0,0,,
6,0,8.5e-06,38.523,0,0,0,0,0,,
7,0,8.5e-06,133.085,0,0,0,0,0,,
8,0,8.5e-06,78.1467,0,0,0,0,0,,
9,0,8.5e-06,7.88368,0,0,0,0,0,,
10,0,8.5e-06,193.91,0,1,0,1,0,,
11,0,8.5e-06,770.957,0,1,0,1,0,,
12,0,8.5e-06,202.873,0,1,0,1,0,,
13,0,8.5e-06,62.8709,0,1,0,1,0,,
14,0,8.5e-06,62.8709,0,1,0,1,0,,
15,0,8.5e-06,245.317,0,1,0,1,0,,
16,0,8.5e-06,245.317,0,1,0,1,0,,
17,0,8.5e-06,187.187,0,1,0,1,0,,
18,0,8.5e-06,187.187,0,1,0,1,0,,
19,0,8.5e-06,202.873,0,1,0,1,0,,
20,0,8.5e-06,206.239,0,2,0,2,0,,
21,0,8.5e-06,811.73,0,2,0,2,0,,
22,0,8.5e-06,811.73,0,2,0,2,0,,
23,0,8.5e-06,214.381,0,2,0,2,0,,
24,0,8.5e-06,40.7817,0,2,0,2,0,,
25,0,8.5e-06,145.505,0,2,0,2,0,,
26,0,8.5e-06,40.7817,0,2,0,2,0,,
27,0,8.5e-06,294.775,0,2,0,2,0,,
28,0,8.5e-06,604.934,0,2,0,2,0,,
29,0,8.5e-06,206.239,0,2,0,2,0,,
30,0,8.5e-06,21.9101,0,3,0,3,0,,
31,0,8.5e-06,25.3348,0,3,0,3,0,,
32,0,8.5e-06,111.586,0,3,0,3,0,,
33,0,8.5e-06,241.904,0,3,0,3,0,,
34,0,8.5e-06,111.586,0,3,0,3,0,,
35,0,8.5e-06,21.9101,0,3,0,3,0,,
36,0,8.5e-06,60.8016,0,3,0,3,0,,
37,0,8.5e-06,241.904,0,3,0,3,0,,
38,0,8.5e-06,25.3348,0,3,0,3,0,,
39,0,8.5e-06,178.756,0,3,0,3,0,,
50,7.88368,8.5e-06,107.342,107.342,0,0,0,0,,9;0
78,21.9101,8.5e-06,38.8915,38.8915,3,0,3,0,,35;30
85,25.3348,8.5e-06,293.061,293.061,3,0,3,0,,38;31
111,38.523,8.5e-06,94.5618,94.5618,0,0,0,0,,6;5
119,40.7817,8.5e-06,104.724,104.724,2,0,2,0,,24;26
172,60.8016,8.5e-06,117.954,117.954,3,0,3,0,,78;36
178,62.8709,8.5e-06,898.355,898.355,1,0,1,0,,13;14
214,78.1467,8.5e-06,37.0789,37.0789,0,0,0,0,,2;8
323,111.586,8.5e-06,1388.97,1388.97,3,0,3,0,,34;32
337,115.226,8.5e-06,83.9166,83.9166,0,1,0,1,,50;214
393,133.085,8.5e-06,66.0575,66.0575,0,0,0,0,,111;7
430,145.505,8.5e-06,149.27,149.27,2,1,2,1,,25;119
531,178.756,8.5e-06,139.64,139.64,3,1,3,1,,39;172
554,187.187,8.5e-06,6.72269,6.72269,1,0,1,0,,17;18
575,193.91,8.5e-06,767.317,767.317,1,0,1,0,,554;10
584,199.142,8.5e-06,338.543,338.543,0,0,0,0,,393;337
591,202.873,8.5e-06,568.084,568.084,1,0,1,0,,19;12
600,206.239,8.5e-06,8.14285,8.14285,2,1,2,1,,29;20
624,214.381,8.5e-06,390.552,390.552,2,1,2,1,,23;600
679,241.904,8.5e-06,2151.23,2151.23,3,0,3,0,,37;33
685,245.317,8.5e-06,601.978,601.978,1,0,1,0,,16;15
775,294.775,8.5e-06,1003.26,1003.26,2,0,2,0,,430;27
814,318.396,8.5e-06,1182.16,1182.16,3,0,3,0,,531;85
942,389.23,8.5e-06,148.456,148.456,0,0,0,0,,4;3
1164,537.686,8.5e-06,276.861,276.861,0,0,0,0,,584;942
1244,604.934,8.5e-06,695.799,695.799,2,0,2,0,,28;624
1419,770.957,8.5e-06,76.3378,76.3378,1,0,1,0,,591;11
1460,811.73,8.5e-06,486.303,486.303,2,0,2,0,,22;21
1463,814.547,8.5e-06,1578.59,1578.59,0,0,0,0,,1;1164
1490,847.295,8.5e-06,5044.65,5044.65,1,0,1,0,,1419;685
1594,961.226,8.5e-06,3318.81,3318.81,1,1,1,1,,178;575
1794,1298.03,8.5e-06,2.6999,2.6999,2,1,2,1,,1460;775
1796,1300.73,8.5e-06,5432.7,5432.7,2,1,2,1,,1794;1244
1913,1500.56,8.5e-06,4391.39,4391.39,3,0,3,0,,814;323
2232,2393.13,8.5e-06,1886.91,1886.91,0,0,0,0,,679;1463
2563,4280.04,8.5e-06,3432.93,3432.93,0,1,0,1,,1594;2232
2720,5891.95,8.5e-06,841.481,841.481,0,0,0,0,,1913;1490
2777,6733.43,8.5e-06,979.536,979.536,0,0,0,0,,1796;2720
2838,7712.97,8.5e-06,0,0,0,1,0,1,,2777;2563
