nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,5.5e-06,7.88368,0,0,0,0,0,,
1,0,5.5e-06,105.765,0,0,0,0,0,,
2,0,5.5e-06,144.779,0,0,0,0,0,,
3,0,5.5e-06,105.765,0,0,0,0,0,,
4,0,5.5e-06,144.779,0,0,0,0,0,,
5,0,5.5e-06,49.5868,0,0,0,0,0,,
6,0,5.5e-06,130.347,0,0,0,0,0,,
7,0,5.5e-06,1176.99,0,0,0,0,0,,
8,0,5.5e-06,130.347,0,0,0,0,0,,
9,0,5.5e-06,7.88368,0,0,0,0,0,,
10,0,5.5e-06,180.576,0,1,0,1,0,,
11,0,5.5e-06,719.523,0,1,0,1,0,,
12,0,5.5e-06,60.3818,0,1,0,1,0,,
13,0,5.5e-06,525.481,0,1,0,1,0,,
14,0,5.5e-06,60.3818,0,1,0,1,0,,
15,0,5.5e-06,293.03,0,1,0,1,0,,
16,0,5.5e-06,180.576,0,1,0,1,0,,
17,0,5.5e-06,46.8636,0,1,0,1,0,,
18,0,5.5e-06,46.8636,0,1,0,1,0,,
19,0,5.5e-06,177.991,0,1,0,1,0,,
20,0,5.5e-06,100.022,0,2,0,2,0,,
21,0,5.5e-06,228.484,0,2,0,2,0,,
22,0,5.5e-06,51.9676,0,2,0,2,0,,
23,0,5.5e-06,228.484,0,2,0,2,0,,
24,0,5.5e-06,51.9676,0,2,0,2,0,,
25,0,5.5e-06,955.941,0,2,0,2,0,,
26,0,5.5e-06,100.022,0,2,0,2,0,,
27,0,5.5e-06,492.459,0,2,0,2,0,,
28,0,5.5e-06,492.459,0,2,0,2,0,,
29,0,5.5e-06,1066.63,0,2,0,2,0,,
30,0,5.5e-06,76.2936,0,3,0,3,0,,
31,0,5.5e-06,381.159,0,3,0,3,0,,
32,0,5.5e-06,119.645,0,3,0,3,0,,
33,0,5.5e-06,60.8016,0,3,0,3,0,,
34,0,5.5e-06,60.2028,0,3,0,3,0,,
35,0,5.5e-06,1779.45,0,3,0,3,0,,
36,0,5.5e-06,60.2028,0,3,0,3,0,,
37,0,5.5e-06,76.2936,0,3,0,3,0,,
38,0,5.5e-06,122.73,0,3,0,3,0,,
39,0,5.5e-06,119.645,0,3,0,3,0,,
50,7.88368,5.5e-06,41.7031,41.7031,0,0,0,0,,9;0
133,46.8636,5.5e-06,2058.69,2058.69,1,0,1,0,,18;17
140,49.5868,5.5e-06,158.775,158.775,0,0,0,0,,5;50
144,51.9676,5.5e-06,528.725,528.725,2,0,2,0,,24;22
167,60.2028,5.5e-06,0.598805,0.598805,3,0,3,0,,36;34
169,60.3818,5.5e-06,117.609,117.609,1,0,1,0,,12;14
172,60.8016,5.5e-06,61.9282,61.9282,3,0,3,0,,33;167
210,76.2936,5.5e-06,325.651,325.651,3,0,3,0,,37;30
282,100.022,5.5e-06,153.585,153.585,2,0,2,0,,26;20
303,105.765,5.5e-06,687.078,687.078,0,0,0,0,,3;1
350,119.645,5.5e-06,301.289,301.289,3,0,3,0,,39;32
362,122.73,5.5e-06,258.429,258.429,3,0,3,0,,38;172
386,130.347,5.5e-06,2429.85,2429.85,0,0,0,0,,6;8
428,144.779,5.5e-06,63.5824,63.5824,0,1,0,1,,4;2
527,177.991,5.5e-06,1927.56,1927.56,1,1,1,1,,169;19
537,180.576,5.5e-06,112.454,112.454,1,0,1,0,,16;10
607,208.362,5.5e-06,584.482,584.482,0,1,0,1,,428;140
652,228.484,5.5e-06,25.1234,25.1234,2,0,2,0,,21;23
697,253.607,5.5e-06,327.086,327.086,2,0,2,0,,282;652
772,293.03,5.5e-06,232.451,232.451,1,0,1,0,,15;537
918,381.159,5.5e-06,20.7856,20.7856,3,1,3,1,,362;31
966,401.945,5.5e-06,18.9898,18.9898,3,0,3,0,,918;210
995,420.934,5.5e-06,1358.52,1358.52,3,0,3,0,,350;966
1097,492.459,5.5e-06,463.481,463.481,2,0,2,0,,28;27
1143,525.481,5.5e-06,194.042,194.042,1,0,1,0,,13;772
1223,580.693,5.5e-06,485.942,485.942,2,0,2,0,,144;697
1374,719.523,5.5e-06,5584.39,5584.39,1,0,1,0,,1143;11
1439,792.844,5.5e-06,384.144,384.144,0,1,0,1,,607;303
1591,955.941,5.5e-06,603.578,603.578,2,0,2,0,,25;1097
1673,1066.63,5.5e-06,492.885,492.885,2,0,2,0,,1223;29
1737,1176.99,5.5e-06,829.412,829.412,0,0,0,0,,7;1439
1951,1559.52,5.5e-06,3796.36,3796.36,2,0,2,0,,1673;1591
2043,1779.45,5.5e-06,226.949,226.949,3,0,3,0,,995;35
2133,2006.4,5.5e-06,553.801,553.801,0,0,0,0,,1737;2043
2162,2105.55,5.5e-06,3250.32,3250.32,1,1,1,1,,527;133
2281,2560.2,5.5e-06,4067.86,4067.86,0,0,0,0,,386;2133
2677,5355.87,5.5e-06,948.036,948.036,0,0,0,0,,2162;1951
2743,6303.91,5.5e-06,324.152,324.152,0,1,0,1,,2677;1374
2771,6628.06,5.5e-06,0,0,0,0,0,0,,2743;2281
