parent,child,weight
38,35,0.000252982
35,25,0.000183448
25,13,8.1615e-06
25,17,8.1615e-06
35,34,9.11693e-05
34,21,9.89028e-05
21,11,1.53727e-06
21,19,1.53727e-06
34,31,4.04006e-05
31,29,2.17367e-05
29,15,3.83027e-05
29,23,3.2742e-05
23,20,4.73821e-06
20,16,8.22464e-07
20,10,8.22464e-07
23,22,8.40627e-07
22,18,4.72005e-06
22,14,4.72005e-06
31,12,6.00394e-05
