nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,6.5e-06,7.88368,0,0,0,0,0,,
1,0,6.5e-06,95.8084,0,0,0,0,0,,
2,0,6.5e-06,289.308,0,0,0,0,0,,
3,0,6.5e-06,289.308,0,0,0,0,0,,
4,0,6.5e-06,74.2059,0,0,0,0,0,,
5,0,6.5e-06,49.5868,0,0,0,0,0,,
6,0,6.5e-06,130.347,0,0,0,0,0,,
7,0,6.5e-06,543.816,0,0,0,0,0,,
8,0,6.5e-06,130.347,0,0,0,0,0,,
9,0,6.5e-06,7.88368,0,0,0,0,0,,
10,0,6.5e-06,275.032,0,1,0,1,0,,
11,0,6.5e-06,293.03,0,1,0,1,0,,
12,0,6.5e-06,275.032,0,1,0,1,0,,
13,0,6.5e-06,293.03,0,1,0,1,0,,
14,0,6.5e-06,1619.6,0,1,0,1,0,,
15,0,6.5e-06,163.303,0,1,0,1,0,,
16,0,6.5e-06,23.8517,0,1,0,1,0,,
17,0,6.5e-06,163.303,0,1,0,1,0,,
18,0,6.5e-06,23.8517,0,1,0,1,0,,
19,0,6.5e-06,251.016,0,1,0,1,0,,
20,0,6.5e-06,286.428,0,2,0,2,0,,
21,0,6.5e-06,153.815,0,2,0,2,0,,
22,0,6.5e-06,51.9676,0,2,0,2,0,,
23,0,6.5e-06,153.815,0,2,0,2,0,,
24,0,6.5e-06,51.9676,0,2,0,2,0,,
25,0,6.5e-06,432.773,0,2,0,2,0,,
26,0,6.5e-06,145.505,0,2,0,2,0,,
27,0,6.5e-06,286.428,0,2,0,2,0,,
28,0,6.5e-06,289.085,0,2,0,2,0,,
29,0,6.5e-06,145.505,0,2,0,2,0,,
30,0,6.5e-06,76.2936,0,3,0,3,0,,
31,0,6.5e-06,109.22,0,3,0,3,0,,
32,0,6.5e-06,138.525,0,3,0,3,0,,
33,0,6.5e-06,60.8016,0,3,0,3,0,,
34,0,6.5e-06,142.387,0,3,0,3,0,,
35,0,6.5e-06,303.676,0,3,0,3,0,,
36,0,6.5e-06,60.8016,0,3,0,3,0,,
37,0,6.5e-06,76.2936,0,3,0,3,0,,
38,0,6.5e-06,142.387,0,3,0,3,0,,
39,0,6.5e-06,151.005,0,3,0,3,0,,
50,7.88368,6.5e-06,41.7031,41.7031,0,0,0,0,,9;0
83,23.8517,6.5e-06,227.164,227.164,1,0,1,0,,18;16
140,49.5868,6.5e-06,24.6192,24.6192,0,0,0,0,,5;50
144,51.9676,6.5e-06,211.449,211.449,2,0,2,0,,24;22
172,60.8016,6.5e-06,48.4186,48.4186,3,0,3,0,,33;36
203,74.2059,6.5e-06,21.6025,21.6025,0,0,0,0,,4;140
210,76.2936,6.5e-06,1442.63,1442.63,3,0,3,0,,37;30
265,95.8084,6.5e-06,718.739,718.739,0,0,0,0,,203;1
311,109.22,6.5e-06,29.3045,29.3045,3,0,3,0,,172;31
386,130.347,6.5e-06,195.356,195.356,0,0,0,0,,6;8
412,138.525,6.5e-06,58.7282,58.7282,3,0,3,0,,311;32
422,142.387,6.5e-06,8.61871,8.61871,3,0,3,0,,34;38
430,145.505,6.5e-06,117.912,117.912,2,1,2,1,,29;26
452,151.005,6.5e-06,46.2477,46.2477,3,1,3,1,,39;422
459,153.815,6.5e-06,278.958,278.958,2,1,2,1,,21;23
491,163.303,6.5e-06,309.154,309.154,1,1,1,1,,17;15
580,197.253,6.5e-06,106.423,106.423,3,0,3,0,,412;452
693,251.016,6.5e-06,221.441,221.441,1,0,1,0,,83;19
714,263.417,6.5e-06,428.393,428.393,2,1,2,1,,144;430
736,275.032,6.5e-06,445.455,445.455,1,0,1,0,,10;12
758,286.428,6.5e-06,2.65672,2.65672,2,0,2,0,,20;27
762,289.085,6.5e-06,490.25,490.25,2,0,2,0,,28;758
763,289.308,6.5e-06,36.3954,36.3954,0,0,0,0,,2;3
772,293.03,6.5e-06,1326.57,1326.57,1,0,1,0,,11;13
789,303.676,6.5e-06,1215.25,1215.25,3,0,3,0,,35;580
825,325.703,6.5e-06,218.113,218.113,0,0,0,0,,386;763
1024,432.773,6.5e-06,259.037,259.037,2,0,2,0,,25;459
1072,472.457,6.5e-06,248.03,248.03,1,0,1,0,,693;491
1179,543.816,6.5e-06,270.731,270.731,0,0,0,0,,825;7
1342,691.81,6.5e-06,87.5242,87.5242,2,0,2,0,,714;1024
1377,720.487,6.5e-06,2245.99,2245.99,1,0,1,0,,1072;736
1425,779.334,6.5e-06,20623,20623,2,1,2,1,,762;1342
1463,814.547,6.5e-06,2581.97,2581.97,0,0,0,0,,1179;265
1924,1518.92,6.5e-06,28302.6,28302.6,3,0,3,0,,210;789
1976,1619.6,6.5e-06,1346.88,1346.88,1,1,1,1,,14;772
2370,2966.48,6.5e-06,430.035,430.035,1,0,1,0,,1976;1377
2440,3396.51,6.5e-06,18005.8,18005.8,0,0,0,0,,1463;2370
3239,21402.4,6.5e-06,8419.14,8419.14,0,0,0,0,,2440;1425
3340,29821.5,6.5e-06,0,0,0,0,0,0,,1924;3239
