nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,9e-06,68.1372,0,0,0,0,0,,
1,0,9e-06,143.993,0,0,0,0,0,,
2,0,9e-06,47.4932,0,0,0,0,0,,
3,0,9e-06,85.2258,0,0,0,0,0,,
4,0,9e-06,143.993,0,0,0,0,0,,
5,0,9e-06,47.4932,0,0,0,0,0,,
6,0,9e-06,183.364,0,0,0,0,0,,
7,0,9e-06,738.321,0,0,0,0,0,,
8,0,9e-06,422.872,0,0,1,0,1,,
9,0,9e-06,51.3399,0,0,1,0,1,,
10,0,9e-06,11.8299,0,1,0,1,0,,
11,0,9e-06,834.413,0,1,0,1,0,,
12,0,9e-06,113.589,0,1,0,1,0,,
13,0,9e-06,52.7162,0,1,0,1,0,,
14,0,9e-06,110.947,0,1,0,1,0,,
15,0,9e-06,110.947,0,1,0,1,0,,
16,0,9e-06,52.7162,0,1,0,1,0,,
17,0,9e-06,11.8299,0,1,0,1,0,,
18,0,9e-06,6.68216,0,1,1,1,1,,
19,0,9e-06,6.68216,0,1,1,1,1,,
20,0,9e-06,155.427,0,2,0,2,0,,
21,0,9e-06,434.782,0,2,0,2,0,,
22,0,9e-06,163.344,0,2,0,2,0,,
23,0,9e-06,163.344,0,2,0,2,0,,
24,0,9e-06,9.15784,0,2,0,2,0,,
25,0,9e-06,9.15784,0,2,0,2,0,,
26,0,9e-06,450.205,0,2,0,2,0,,
27,0,9e-06,1182.17,0,2,0,2,0,,
28,0,9e-06,568.9,0,2,0,2,0,,
29,0,9e-06,198.902,0,2,1,2,1,,
30,0,9e-06,103.692,0,3,0,3,0,,
31,0,9e-06,6.9676,0,3,0,3,0,,
32,0,9e-06,491.925,0,3,0,3,0,,
33,0,9e-06,16.1442,0,3,0,3,0,,
34,0,9e-06,16.1442,0,3,0,3,0,,
35,0,9e-06,103.318,0,3,0,3,0,,
36,0,9e-06,103.692,0,3,0,3,0,,
37,0,9e-06,6.9676,0,3,0,3,0,,
38,0,9e-06,239.813,0,3,1,3,1,,
39,0,9e-06,103.318,0,3,1,3,1,,
59,6.68216,9e-06,404.029,404.029,1,1,1,1,,19;18
60,6.9676,9e-06,143.386,143.386,3,0,3,0,,31;37
70,9.15784,9e-06,146.269,146.269,2,0,2,0,,25;24
75,11.8299,9e-06,127.304,127.304,1,0,1,0,,10;17
81,16.1442,9e-06,475.78,475.78,3,0,3,0,,34;33
150,47.4932,9e-06,3.84669,3.84669,0,0,0,0,,5;2
157,51.3399,9e-06,16.7972,16.7972,0,0,0,0,,9;150
163,52.7162,9e-06,86.4179,86.4179,1,0,1,0,,13;16
188,68.1372,9e-06,17.0887,17.0887,0,0,0,0,,157;0
241,85.2258,9e-06,98.1383,98.1383,0,0,0,0,,188;3
288,103.318,9e-06,47.0357,47.0357,3,0,3,0,,39;35
290,103.692,9e-06,136.12,136.12,3,0,3,0,,30;36
314,110.947,9e-06,2.64194,2.64194,1,0,1,0,,15;14
326,113.589,9e-06,4415.63,4415.63,1,0,1,0,,314;12
401,139.134,9e-06,271.577,271.577,1,0,1,0,,163;75
412,143.993,9e-06,278.879,278.879,0,0,0,0,,4;1
438,150.353,9e-06,1329.79,1329.79,3,0,3,0,,60;288
450,155.427,9e-06,183.505,183.505,2,0,2,0,,20;70
476,163.344,9e-06,35.5578,35.5578,2,1,2,1,,23;22
528,183.364,9e-06,1457.53,1457.53,0,1,0,1,,6;241
563,198.902,9e-06,140.031,140.031,2,0,2,0,,29;476
652,239.813,9e-06,2463.05,2463.05,3,0,3,0,,290;38
833,338.933,9e-06,95.8492,95.8492,2,1,2,1,,563;450
939,410.711,9e-06,423.702,423.702,1,0,1,0,,401;59
958,422.872,9e-06,315.448,315.448,0,0,0,0,,412;8
983,434.782,9e-06,15.4227,15.4227,2,0,2,0,,833;21
1011,450.205,9e-06,118.695,118.695,2,0,2,0,,983;26
1059,491.925,9e-06,988.218,988.218,3,0,3,0,,32;81
1152,568.9,9e-06,613.271,613.271,2,0,2,0,,28;1011
1354,738.321,9e-06,902.569,902.569,0,1,0,1,,958;7
1445,834.413,9e-06,3976.53,3976.53,1,0,1,0,,939;11
1710,1182.17,9e-06,4529.8,4529.8,2,1,2,1,,1152;27
1904,1480.14,9e-06,3049.08,3049.08,3,0,3,0,,1059;438
1990,1640.89,9e-06,1061.97,1061.97,0,0,0,0,,528;1354
2362,2702.86,9e-06,2108.07,2108.07,0,0,0,0,,652;1990
2730,4529.22,9e-06,5553.25,5553.25,0,0,0,0,,326;1904
2773,4810.94,9e-06,901.037,901.037,0,0,0,0,,2362;1445
2869,5711.98,9e-06,4370.49,4370.49,0,0,0,0,,1710;2773
3094,10082.5,9e-06,0,0,0,1,0,1,,2730;2869
