run,hop,current_x,event,event_time,raw_delta_x,used_delta_x,next_x
0,57,8335.68,coalescence_fallback,48519.3,,,
0,57,8335.68,hop_summary,,29.9569,29.9569,8365.64
0,58,8365.64,coalescence_fallback,38784.6,,,
0,58,8365.64,hop_summary,,53.5555,53.5555,8419.2
0,59,8419.2,coalescence_fallback,33272.9,,,
0,59,8419.2,hop_summary,,8.00665,8.00665,8427.2
0,60,8427.2,coalescence_fallback,38166.8,,,
0,60,8427.2,hop_summary,,97.0773,97.0773,8524.28
0,61,8524.28,coalescence_fallback,36288.6,,,
0,61,8524.28,hop_summary,,55.91,55.91,8580.19
0,62,8580.19,coalescence,12120,,,
0,62,8580.19,hop_summary,,59.6551,59.6551,8639.84
0,63,8639.84,coalescence_fallback,109009,,,
0,63,8639.84,hop_summary,,1351.8,1351.8,9991.64
0,64,9991.64,coalescence_fallback,25146.6,,,
0,64,9991.64,hop_summary,,54.2158,54.2158,10045.9
0,65,10045.9,coalescence_fallback,34245.5,,,
0,65,10045.9,hop_summary,,201.957,201.957,10247.8
0,66,10247.8,coalescence_fallback,27994.4,,,
0,66,10247.8,hop_summary,,41.5846,41.5846,10289.4
0,67,10289.4,coalescence,18835.1,,,
0,67,10289.4,hop_summary,,240.191,240.191,10529.6
0,68,10529.6,coalescence_fallback,13108.8,,,
0,68,10529.6,hop_summary,,27.3862,27.3862,10557
0,69,10557,coalescence_fallback,27601.3,,,
0,69,10557,hop_summary,,118.143,118.143,10675.1
0,70,10675.1,coalescence_fallback,40397.7,,,
0,70,10675.1,hop_summary,,84.9507,84.9507,10760.1
0,71,10760.1,coalescence_fallback,67360.6,,,
0,71,10760.1,hop_summary,,44.1826,44.1826,10804.3
0,72,10804.3,coalescence_fallback,43086.2,,,
0,72,10804.3,hop_summary,,70.2083,70.2083,10874.5
0,73,10874.5,coalescence_fallback,75569.1,,,
0,73,10874.5,hop_summary,,44.6605,44.6605,10919.1
0,74,10919.1,coalescence_fallback,62553.2,,,
0,74,10919.1,hop_summary,,27.7098,27.7098,10946.8
0,75,10946.8,coalescence_fallback,78631.3,,,
0,75,10946.8,hop_summary,,103.616,103.616,11050.4
0,76,11050.4,coalescence,60084.8,,,
0,76,11050.4,hop_summary,,19.4752,19.4752,11069.9
0,77,11069.9,coalescence_fallback,48087,,,
0,77,11069.9,hop_summary,,15.7614,15.7614,11085.7
0,78,11085.7,coalescence_fallback,46097.4,,,
0,78,11085.7,hop_summary,,147.394,147.394,11233.1
0,79,11233.1,coalescence_fallback,52602.4,,,
0,79,11233.1,hop_summary,,112.129,112.129,11345.2
0,80,11345.2,coalescence,26477.1,,,
0,80,11345.2,hop_summary,,32.7515,32.7515,11378
0,81,11378,coalescence_fallback,30004.3,,,
0,81,11378,hop_summary,,215.432,215.432,11593.4
0,82,11593.4,coalescence,12776.3,,,
0,82,11593.4,hop_summary,,121.18,121.18,11714.6
0,83,11714.6,coalescence_fallback,62368.4,,,
0,83,11714.6,hop_summary,,916.112,916.112,12630.7
0,84,12630.7,coalescence_fallback,29459.6,,,
0,84,12630.7,hop_summary,,30.5504,30.5504,12661.2
0,85,12661.2,coalescence,12743.9,,,
0,85,12661.2,hop_summary,,18.4377,18.4377,12679.7
0,86,12679.7,coalescence_fallback,16418.7,,,
0,86,12679.7,hop_summary,,623.658,623.658,13303.3
0,87,13303.3,coalescence_fallback,17501.9,,,
0,87,13303.3,hop_summary,,426.789,426.789,13730.1
0,88,13730.1,coalescence_fallback,16405.5,,,
0,88,13730.1,hop_summary,,105.075,105.075,13835.2
0,89,13835.2,coalescence_fallback,36209.1,,,
0,89,13835.2,hop_summary,,289.89,289.89,14125.1
0,90,14125.1,coalescence_fallback,54938.3,,,
0,90,14125.1,hop_summary,,86.0624,86.0624,14211.1
0,91,14211.1,coalescence_fallback,38038.2,,,
0,91,14211.1,hop_summary,,78.3198,78.3198,14289.5
0,92,14289.5,coalescence_fallback,55815.1,,,
0,92,14289.5,hop_summary,,198.848,198.848,14488.3
0,93,14488.3,coalescence_fallback,76744.2,,,
0,93,14488.3,hop_summary,,185.665,185.665,14674
0,94,14674,coalescence,33398.2,,,
0,94,14674,hop_summary,,1.46822,1.46822,14675.4
0,95,14675.4,coalescence_fallback,37075.1,,,
0,95,14675.4,hop_summary,,130.933,130.933,14806.4
0,96,14806.4,coalescence_fallback,36897.8,,,
0,96,14806.4,hop_summary,,27.407,27.407,14833.8
0,97,14833.8,coalescence_fallback,43794.5,,,
0,97,14833.8,hop_summary,,262.445,262.445,15096.2
0,98,15096.2,coalescence,26495.8,,,
0,98,15096.2,hop_summary,,104.711,104.711,15200.9
0,99,15200.9,coalescence_fallback,31876.3,,,
0,99,15200.9,hop_summary,,476.016,476.016,15677
0,100,15677,coalescence_fallback,56733,,,
0,100,15677,hop_summary,,172.025,172.025,15849
0,101,15849,coalescence_fallback,44986.2,,,
0,101,15849,hop_summary,,88.4117,88.4117,15937.4
0,102,15937.4,coalescence,23163,,,
0,102,15937.4,hop_summary,,169.99,169.99,16107.4
0,103,16107.4,coalescence_fallback,43355.7,,,
0,103,16107.4,hop_summary,,102.731,102.731,16210.1
0,104,16210.1,coalescence_fallback,46480.7,,,
0,104,16210.1,hop_summary,,149.667,149.667,16359.8
0,105,16359.8,coalescence_fallback,32744.6,,,
0,105,16359.8,hop_summary,,1.28878,1.28878,16361.1
0,106,16361.1,coalescence_fallback,39318.4,,,
0,106,16361.1,hop_summary,,83.0869,83.0869,16444.2
0,107,16444.2,coalescence_fallback,31837.4,,,
0,107,16444.2,hop_summary,,136.025,136.025,16580.2
0,108,16580.2,coalescence,28015.1,,,
0,108,16580.2,hop_summary,,3.78377,3.78377,16584
0,109,16584,coalescence_fallback,59706.7,,,
0,109,16584,hop_summary,,122.703,122.703,16706.7
0,110,16706.7,coalescence_fallback,41511.8,,,
0,110,16706.7,hop_summary,,23.3276,23.3276,16730
0,111,16730,coalescence_fallback,53673.3,,,
0,111,16730,hop_summary,,6.93634,6.93634,16736.9
0,112,16736.9,coalescence_fallback,45360.4,,,
0,112,16736.9,hop_summary,,173.441,173.441,16910.4
0,113,16910.4,coalescence_fallback,36459.4,,,
0,113,16910.4,hop_summary,,237.517,237.517,17147.9
0,114,17147.9,coalescence,34622.8,,,
0,114,17147.9,hop_summary,,81.2779,81.2779,17229.2
0,115,17229.2,coalescence_fallback,39000.4,,,
0,115,17229.2,hop_summary,,101.865,101.865,17331
0,116,17331,coalescence_fallback,51096,,,
0,116,17331,hop_summary,,15.2078,15.2078,17346.2
0,117,17346.2,coalescence_fallback,80103.8,,,
0,117,17346.2,hop_summary,,47.926,47.926,17394.2
0,118,17394.2,coalescence_fallback,133799,,,
0,118,17394.2,hop_summary,,11.903,11.903,17406.1
0,119,17406.1,coalescence,62762.1,,,
0,119,17406.1,hop_summary,,1.04765,1.04765,17407.1
0,120,17407.1,coalescence_fallback,84085.9,,,
0,120,17407.1,hop_summary,,85.4641,85.4641,17492.6
0,121,17492.6,coalescence,52066.5,,,
0,121,17492.6,hop_summary,,339.395,339.395,17832
0,122,17832,coalescence_fallback,41889.2,,,
0,122,17832,hop_summary,,9.51795,9.51795,17841.5
0,123,17841.5,coalescence_fallback,42876.9,,,
0,123,17841.5,hop_summary,,40.1953,40.1953,17881.7
0,124,17881.7,coalescence,24258.5,,,
0,124,17881.7,hop_summary,,52.9133,52.9133,17934.6
0,125,17934.6,coalescence_fallback,63451.6,,,
0,125,17934.6,hop_summary,,191.656,191.656,18126.3
0,126,18126.3,coalescence_fallback,23927.9,,,
0,126,18126.3,hop_summary,,70.8037,70.8037,18197.1
0,127,18197.1,coalescence_fallback,13313.4,,,
0,127,18197.1,hop_summary,,39.5269,39.5269,18236.6
0,128,18236.6,coalescence_fallback,25949.2,,,
0,128,18236.6,hop_summary,,207.965,207.965,18444.6
0,129,18444.6,coalescence_fallback,67542.7,,,
0,129,18444.6,hop_summary,,336.297,336.297,18780.9
0,130,18780.9,coalescence_fallback,84164,,,
0,130,18780.9,hop_summary,,105.395,105.395,18886.2
0,131,18886.2,coalescence,20069.5,,,
0,131,18886.2,hop_summary,,36.3748,36.3748,18922.6
0,132,18922.6,coalescence_fallback,22332.7,,,
