nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,9.5e-06,68.1372,0,0,0,0,0,,
1,0,9.5e-06,434.386,0,0,0,0,0,,
2,0,9.5e-06,47.4932,0,0,0,0,0,,
3,0,9.5e-06,851.374,0,0,0,0,0,,
4,0,9.5e-06,358.368,0,0,0,0,0,,
5,0,9.5e-06,47.4932,0,0,0,0,0,,
6,0,9.5e-06,201.698,0,0,0,0,0,,
7,0,9.5e-06,201.698,0,0,0,0,0,,
8,0,9.5e-06,200.432,0,0,1,0,1,,
9,0,9.5e-06,51.3399,0,0,1,0,1,,
10,0,9.5e-06,11.8299,0,1,0,1,0,,
11,0,9.5e-06,227.754,0,1,0,1,0,,
12,0,9.5e-06,113.589,0,1,0,1,0,,
13,0,9.5e-06,52.7162,0,1,0,1,0,,
14,0,9.5e-06,113.589,0,1,0,1,0,,
15,0,9.5e-06,227.754,0,1,0,1,0,,
16,0,9.5e-06,52.7162,0,1,0,1,0,,
17,0,9.5e-06,11.8299,0,1,0,1,0,,
18,0,9.5e-06,6.68216,0,1,1,1,1,,
19,0,9.5e-06,6.68216,0,1,1,1,1,,
20,0,9.5e-06,26.6128,0,2,0,2,0,,
21,0,9.5e-06,432.374,0,2,0,2,0,,
22,0,9.5e-06,79.0691,0,2,0,2,0,,
23,0,9.5e-06,26.6128,0,2,0,2,0,,
24,0,9.5e-06,9.15784,0,2,0,2,0,,
25,0,9.5e-06,9.15784,0,2,0,2,0,,
26,0,9.5e-06,48.9718,0,2,0,2,0,,
27,0,9.5e-06,48.9718,0,2,0,2,0,,
28,0,9.5e-06,212.404,0,2,0,2,0,,
29,0,9.5e-06,79.0691,0,2,1,2,1,,
30,0,9.5e-06,119.507,0,3,0,3,0,,
31,0,9.5e-06,6.9676,0,3,0,3,0,,
32,0,9.5e-06,119.507,0,3,0,3,0,,
33,0,9.5e-06,16.1442,0,3,0,3,0,,
34,0,9.5e-06,16.1442,0,3,0,3,0,,
35,0,9.5e-06,887.497,0,3,0,3,0,,
36,0,9.5e-06,166.275,0,3,0,3,0,,
37,0,9.5e-06,6.9676,0,3,0,3,0,,
38,0,9.5e-06,166.275,0,3,1,3,1,,
39,0,9.5e-06,239.813,0,3,1,3,1,,
59,6.68216,9.5e-06,6772.39,6772.39,1,1,1,1,,19;18
60,6.9676,9.5e-06,201.398,201.398,3,0,3,0,,31;37
70,9.15784,9.5e-06,939.445,939.445,2,0,2,0,,25;24
75,11.8299,9.5e-06,178.578,178.578,1,0,1,0,,10;17
81,16.1442,9.5e-06,418.269,418.269,3,0,3,0,,34;33
102,26.6128,9.5e-06,185.791,185.791,2,1,2,1,,23;20
150,47.4932,9.5e-06,3.84669,3.84669,0,0,0,0,,5;2
155,48.9718,9.5e-06,519.928,519.928,2,0,2,0,,26;27
157,51.3399,9.5e-06,16.7972,16.7972,0,0,0,0,,9;150
163,52.7162,9.5e-06,137.692,137.692,1,0,1,0,,13;16
188,68.1372,9.5e-06,132.295,132.295,0,0,0,0,,157;0
224,79.0691,9.5e-06,353.305,353.305,2,1,2,1,,22;29
326,113.589,9.5e-06,124.233,124.233,1,0,1,0,,14;12
343,119.507,9.5e-06,2618.58,2618.58,3,0,3,0,,30;32
482,166.275,9.5e-06,42.0911,42.0911,3,0,3,0,,36;38
548,190.408,9.5e-06,47.4145,47.4145,1,0,1,0,,75;163
567,200.432,9.5e-06,157.937,157.937,0,1,0,1,,8;188
572,201.698,9.5e-06,232.688,232.688,0,0,0,0,,7;6
584,208.366,9.5e-06,31.4471,31.4471,3,0,3,0,,482;60
598,212.404,9.5e-06,356.496,356.496,2,1,2,1,,28;102
626,227.754,9.5e-06,54.6191,54.6191,1,1,1,1,,15;11
643,237.823,9.5e-06,44.5509,44.5509,1,0,1,0,,548;326
652,239.813,9.5e-06,194.6,194.6,3,0,3,0,,39;584
732,282.373,9.5e-06,6496.7,6496.7,1,0,1,0,,626;643
867,358.368,9.5e-06,493.005,493.005,0,0,0,0,,4;567
974,432.374,9.5e-06,516.229,516.229,2,1,2,1,,224;21
981,434.386,9.5e-06,534.545,534.545,0,1,0,1,,1;572
982,434.413,9.5e-06,453.084,453.084,3,0,3,0,,652;81
1152,568.9,9.5e-06,2192.63,2192.63,2,0,2,0,,598;155
1457,851.374,9.5e-06,117.557,117.557,0,0,0,0,,3;867
1492,887.497,9.5e-06,1850.59,1850.59,3,0,3,0,,982;35
1543,948.603,9.5e-06,1812.93,1812.93,2,0,2,0,,70;974
1566,968.931,9.5e-06,1811.98,1811.98,0,1,0,1,,981;1457
2371,2738.09,9.5e-06,42.8211,42.8211,0,1,0,1,,343;1492
2375,2761.53,9.5e-06,3188.12,3188.12,2,0,2,0,,1543;1152
2383,2780.91,9.5e-06,3168.74,3168.74,0,1,0,1,,2371;1566
2891,5949.65,9.5e-06,35804.1,35804.1,0,1,0,1,,2383;2375
2959,6779.08,9.5e-06,34974.7,34974.7,0,0,0,0,,59;732
3589,41753.7,9.5e-06,0,0,0,0,0,0,,2959;2891
