nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,7e-06,5.40471,0,0,0,0,0,,
1,0,7e-06,238.666,0,0,0,0,0,,
2,0,7e-06,77.6475,0,0,0,0,0,,
3,0,7e-06,189.875,0,0,0,0,0,,
4,0,7e-06,32.5925,0,0,0,0,0,,
5,0,7e-06,244.876,0,0,0,0,0,,
6,0,7e-06,189.875,0,0,0,0,0,,
7,0,7e-06,32.5925,0,0,0,0,0,,
8,0,7e-06,77.6475,0,0,0,0,0,,
9,0,7e-06,5.40471,0,0,0,0,0,,
10,0,7e-06,578.32,0,1,0,1,0,,
11,0,7e-06,710.666,0,1,0,1,0,,
12,0,7e-06,277.871,0,1,0,1,0,,
13,0,7e-06,229.133,0,1,0,1,0,,
14,0,7e-06,678.084,0,1,0,1,0,,
15,0,7e-06,678.084,0,1,0,1,0,,
16,0,7e-06,1014.25,0,1,0,1,0,,
17,0,7e-06,578.32,0,1,0,1,0,,
18,0,7e-06,277.871,0,1,0,1,0,,
19,0,7e-06,229.133,0,1,0,1,0,,
20,0,7e-06,81.3948,0,2,0,2,0,,
21,0,7e-06,51.407,0,2,0,2,0,,
22,0,7e-06,51.407,0,2,0,2,0,,
23,0,7e-06,512.749,0,2,0,2,0,,
24,0,7e-06,34.6381,0,2,0,2,0,,
25,0,7e-06,81.3948,0,2,0,2,0,,
26,0,7e-06,388.344,0,2,0,2,0,,
27,0,7e-06,114.383,0,2,0,2,0,,
28,0,7e-06,34.6381,0,2,0,2,0,,
29,0,7e-06,512.749,0,2,0,2,0,,
30,0,7e-06,9.33481,0,3,0,3,0,,
31,0,7e-06,34.4239,0,3,0,3,0,,
32,0,7e-06,45.1671,0,3,0,3,0,,
33,0,7e-06,43.4215,0,3,0,3,0,,
34,0,7e-06,653.507,0,3,0,3,0,,
35,0,7e-06,9.33481,0,3,0,3,0,,
36,0,7e-06,34.4239,0,3,0,3,0,,
37,0,7e-06,167.067,0,3,0,3,0,,
38,0,7e-06,121.566,0,3,0,3,0,,
39,0,7e-06,167.067,0,3,0,3,0,,
51,5.40471,7e-06,233.261,233.261,0,0,0,0,,9;0
65,9.33481,7e-06,1719.5,1719.5,3,0,3,0,,30;35
132,32.5925,7e-06,257.855,257.855,0,0,0,0,,4;7
136,34.4239,7e-06,8.99763,8.99763,3,0,3,0,,31;36
137,34.6381,7e-06,1165.5,1165.5,2,0,2,0,,24;28
167,43.4215,7e-06,1.74556,1.74556,3,0,3,0,,136;33
173,45.1671,7e-06,76.3987,76.3987,3,0,3,0,,32;167
196,51.407,7e-06,336.937,336.937,2,0,2,0,,22;21
290,77.6475,7e-06,1825.27,1825.27,0,0,0,0,,8;2
303,81.3948,7e-06,32.9877,32.9877,2,1,2,1,,25;20
402,114.383,7e-06,560.886,560.886,2,1,2,1,,27;303
422,121.566,7e-06,531.941,531.941,3,1,3,1,,173;38
557,167.067,7e-06,1338.11,1338.11,3,1,3,1,,39;37
622,189.875,7e-06,55.0014,55.0014,0,0,0,0,,3;6
726,229.133,7e-06,5204.29,5204.29,1,1,1,1,,13;19
757,238.666,7e-06,51.7823,51.7823,0,0,0,0,,1;51
773,244.876,7e-06,554.023,554.023,0,1,0,1,,622;5
845,277.871,7e-06,2090.52,2090.52,1,1,1,1,,12;18
871,290.448,7e-06,508.451,508.451,0,1,0,1,,132;757
1089,388.344,7e-06,286.925,286.925,2,0,2,0,,196;26
1361,512.749,7e-06,2707.52,2707.52,2,1,2,1,,23;29
1447,578.32,7e-06,1790.07,1790.07,1,1,1,1,,17;10
1557,653.507,7e-06,851.666,851.666,3,1,3,1,,34;422
1596,675.269,7e-06,524.867,524.867,2,0,2,0,,402;1089
1600,678.084,7e-06,32.5812,32.5812,1,0,1,0,,14;15
1636,710.666,7e-06,303.586,303.586,1,0,1,0,,11;1600
1742,798.899,7e-06,1104.02,1104.02,0,0,0,0,,773;871
1955,1014.25,7e-06,2850.82,2850.82,1,0,1,0,,1636;16
2090,1200.14,7e-06,2020.13,2020.13,2,1,2,1,,137;1596
2317,1505.17,7e-06,223.661,223.661,3,0,3,0,,1557;557
2457,1728.83,7e-06,3496.28,3496.28,3,0,3,0,,2317;65
2551,1902.92,7e-06,11759.5,11759.5,0,0,0,0,,1742;290
2745,2368.39,7e-06,1496.68,1496.68,1,1,1,1,,1447;845
3060,3220.27,7e-06,2004.84,2004.84,1,0,1,0,,1361;2090
3243,3865.07,7e-06,1568.35,1568.35,0,0,0,0,,2745;1955
3532,5225.11,7e-06,8005.77,8005.77,0,0,0,0,,2457;3060
3582,5433.42,7e-06,7797.46,7797.46,0,0,0,0,,3243;726
4155,13230.9,7e-06,431.552,431.552,0,0,0,0,,3532;3582
4174,13662.4,7e-06,0,0,0,0,0,0,,4155;2551
