parent,child,weight
109,0,0.156309
87,8,0.0595348
87,1,0.0595348
186,163,0.674261
135,7,0.32565
135,4,0.32565
59,3,0.0290275
59,6,0.0290275
58,9,0.0289955
58,5,0.0289955
70,2,0.0394194
56,51,0.00795262
