nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,8e-06,7.88368,0,0,0,0,0,,
1,0,8e-06,130.347,0,0,0,0,0,,
2,0,8e-06,424.6,0,0,0,0,0,,
3,0,8e-06,60.9446,0,0,0,0,0,,
4,0,8e-06,74.2059,0,0,0,0,0,,
5,0,8e-06,38.523,0,0,0,0,0,,
6,0,8e-06,38.523,0,0,0,0,0,,
7,0,8e-06,424.6,0,0,0,0,0,,
8,0,8e-06,60.9446,0,0,0,0,0,,
9,0,8e-06,7.88368,0,0,0,0,0,,
10,0,8e-06,64.8867,0,1,0,1,0,,
11,0,8e-06,343.627,0,1,0,1,0,,
12,0,8e-06,202.873,0,1,0,1,0,,
13,0,8e-06,62.8709,0,1,0,1,0,,
14,0,8e-06,62.8709,0,1,0,1,0,,
15,0,8e-06,320.168,0,1,0,1,0,,
16,0,8e-06,64.8867,0,1,0,1,0,,
17,0,8e-06,554.655,0,1,0,1,0,,
18,0,8e-06,193.91,0,1,0,1,0,,
19,0,8e-06,202.873,0,1,0,1,0,,
20,0,8e-06,26.8854,0,2,0,2,0,,
21,0,8e-06,26.8854,0,2,0,2,0,,
22,0,8e-06,290.954,0,2,0,2,0,,
23,0,8e-06,290.954,0,2,0,2,0,,
24,0,8e-06,40.7817,0,2,0,2,0,,
25,0,8e-06,93.6164,0,2,0,2,0,,
26,0,8e-06,40.7817,0,2,0,2,0,,
27,0,8e-06,93.6164,0,2,0,2,0,,
28,0,8e-06,206.239,0,2,0,2,0,,
29,0,8e-06,60.4085,0,2,0,2,0,,
30,0,8e-06,21.9101,0,3,0,3,0,,
31,0,8e-06,187.949,0,3,0,3,0,,
32,0,8e-06,48.369,0,3,0,3,0,,
33,0,8e-06,48.369,0,3,0,3,0,,
34,0,8e-06,122.511,0,3,0,3,0,,
35,0,8e-06,21.9101,0,3,0,3,0,,
36,0,8e-06,60.8016,0,3,0,3,0,,
37,0,8e-06,104.022,0,3,0,3,0,,
38,0,8e-06,187.949,0,3,0,3,0,,
39,0,8e-06,104.022,0,3,0,3,0,,
50,7.88368,8e-06,66.3223,66.3223,0,0,0,0,,9;0
78,21.9101,8e-06,38.8915,38.8915,3,0,3,0,,35;30
90,26.8854,8e-06,179.353,179.353,2,0,2,0,,20;21
111,38.523,8e-06,91.8244,91.8244,0,0,0,0,,6;5
119,40.7817,8e-06,19.6267,19.6267,2,0,2,0,,24;26
134,48.369,8e-06,74.1421,74.1421,3,0,3,0,,32;33
170,60.4085,8e-06,321.895,321.895,2,0,2,0,,119;29
172,60.8016,8e-06,219.912,219.912,3,0,3,0,,78;36
174,60.9446,8e-06,138.362,138.362,0,0,0,0,,8;3
178,62.8709,8e-06,491.784,491.784,1,0,1,0,,13;14
184,64.8867,8e-06,129.023,129.023,1,0,1,0,,16;10
203,74.2059,8e-06,124.936,124.936,0,0,0,0,,4;50
259,93.6164,8e-06,1095.84,1095.84,2,0,2,0,,25;27
299,104.022,8e-06,214.374,214.374,3,0,3,0,,37;39
360,122.511,8e-06,158.203,158.203,3,0,3,0,,34;134
386,130.347,8e-06,68.7948,68.7948,0,0,0,0,,111;1
556,187.949,8e-06,130.447,130.447,3,1,3,1,,38;31
575,193.91,8e-06,126.258,126.258,1,0,1,0,,18;184
584,199.142,8e-06,0.164268,0.164268,0,0,0,0,,386;203
585,199.307,8e-06,11834.8,11834.8,0,0,0,0,,584;174
591,202.873,8e-06,140.753,140.753,1,0,1,0,,19;12
600,206.239,8e-06,983.216,983.216,2,1,2,1,,28;90
750,280.714,8e-06,647.804,647.804,3,0,3,0,,172;360
769,290.954,8e-06,91.3489,91.3489,2,0,2,0,,23;22
814,318.396,8e-06,610.122,610.122,3,0,3,0,,556;299
817,320.168,8e-06,3176.27,3176.27,1,0,1,0,,15;575
858,343.627,8e-06,630.089,630.089,1,1,1,1,,11;591
924,382.303,8e-06,1711.01,1711.01,2,0,2,0,,769;170
1003,424.6,8e-06,1645.49,1645.49,0,1,0,1,,7;2
1192,554.655,8e-06,419.06,419.06,1,0,1,0,,17;178
1562,928.518,8e-06,1141.57,1141.57,3,0,3,0,,814;750
1609,973.715,8e-06,2522.72,2522.72,1,1,1,1,,1192;858
1747,1189.46,8e-06,903.854,903.854,2,0,2,0,,600;259
2152,2070.09,8e-06,3106.96,3106.96,0,0,0,0,,1003;1562
2160,2093.31,8e-06,9940.77,9940.77,2,0,2,0,,924;1747
2451,3496.44,8e-06,1680.62,1680.62,0,0,0,0,,1609;817
2666,5177.05,8e-06,10017.9,10017.9,0,0,0,0,,2451;2152
2991,12034.1,8e-06,3160.87,3160.87,0,0,0,0,,2160;585
3097,15195,8e-06,0,0,0,0,0,0,,2666;2991
