nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,6e-06,7.88368,0,0,0,0,0,,
1,0,6e-06,105.765,0,0,0,0,0,,
2,0,6e-06,144.779,0,0,0,0,0,,
3,0,6e-06,105.765,0,0,0,0,0,,
4,0,6e-06,144.779,0,0,0,0,0,,
5,0,6e-06,49.5868,0,0,0,0,0,,
6,0,6e-06,130.347,0,0,0,0,0,,
7,0,6e-06,363.522,0,0,0,0,0,,
8,0,6e-06,130.347,0,0,0,0,0,,
9,0,6e-06,7.88368,0,0,0,0,0,,
10,0,6e-06,297.581,0,1,0,1,0,,
11,0,6e-06,190.995,0,1,0,1,0,,
12,0,6e-06,190.995,0,1,0,1,0,,
13,0,6e-06,16.6356,0,1,0,1,0,,
14,0,6e-06,157.838,0,1,0,1,0,,
15,0,6e-06,720.487,0,1,0,1,0,,
16,0,6e-06,293.03,0,1,0,1,0,,
17,0,6e-06,157.838,0,1,0,1,0,,
18,0,6e-06,16.6356,0,1,0,1,0,,
19,0,6e-06,737.103,0,1,0,1,0,,
20,0,6e-06,102.447,0,2,0,2,0,,
21,0,6e-06,102.447,0,2,0,2,0,,
22,0,6e-06,51.9676,0,2,0,2,0,,
23,0,6e-06,196.606,0,2,0,2,0,,
24,0,6e-06,51.9676,0,2,0,2,0,,
25,0,6e-06,1595.31,0,2,0,2,0,,
26,0,6e-06,196.606,0,2,0,2,0,,
27,0,6e-06,286.428,0,2,0,2,0,,
28,0,6e-06,4992.46,0,2,0,2,0,,
29,0,6e-06,289.085,0,2,0,2,0,,
30,0,6e-06,76.2936,0,3,0,3,0,,
31,0,6e-06,428.383,0,3,0,3,0,,
32,0,6e-06,119.645,0,3,0,3,0,,
33,0,6e-06,60.8016,0,3,0,3,0,,
34,0,6e-06,60.2028,0,3,0,3,0,,
35,0,6e-06,151.005,0,3,0,3,0,,
36,0,6e-06,60.2028,0,3,0,3,0,,
37,0,6e-06,76.2936,0,3,0,3,0,,
38,0,6e-06,122.73,0,3,0,3,0,,
39,0,6e-06,119.645,0,3,0,3,0,,
50,7.88368,6e-06,41.7031,41.7031,0,0,0,0,,9;0
70,16.6356,6e-06,703.851,703.851,1,0,1,0,,18;13
140,49.5868,6e-06,704.804,704.804,0,0,0,0,,5;50
144,51.9676,6e-06,649.023,649.023,2,0,2,0,,24;22
167,60.2028,6e-06,0.598805,0.598805,3,0,3,0,,36;34
172,60.8016,6e-06,61.9282,61.9282,3,0,3,0,,33;167
210,76.2936,6e-06,242.157,242.157,3,0,3,0,,37;30
293,102.447,6e-06,598.544,598.544,2,0,2,0,,21;20
303,105.765,6e-06,219.938,219.938,0,0,0,0,,3;1
350,119.645,6e-06,77.6076,77.6076,3,0,3,0,,39;32
362,122.73,6e-06,28.2755,28.2755,3,0,3,0,,38;172
386,130.347,6e-06,195.356,195.356,0,0,0,0,,6;8
428,144.779,6e-06,218.743,218.743,0,1,0,1,,4;2
452,151.005,6e-06,46.2477,46.2477,3,1,3,1,,35;362
474,157.838,6e-06,139.743,139.743,1,1,1,1,,14;17
565,190.995,6e-06,102.035,102.035,1,0,1,0,,12;11
578,196.606,6e-06,89.8219,89.8219,2,1,2,1,,26;23
580,197.253,6e-06,121.197,121.197,3,0,3,0,,350;452
758,286.428,6e-06,2.65672,2.65672,2,0,2,0,,578;27
762,289.085,6e-06,499.583,499.583,2,0,2,0,,29;758
772,293.03,6e-06,232.451,232.451,1,0,1,0,,565;16
780,297.581,6e-06,227.9,227.9,1,1,1,1,,10;474
815,318.45,6e-06,109.933,109.933,3,0,3,0,,580;210
825,325.703,6e-06,2427.78,2427.78,0,0,0,0,,386;303
894,363.522,6e-06,390.869,390.869,0,0,0,0,,7;428
1011,428.383,6e-06,2325.1,2325.1,3,0,3,0,,31;815
1143,525.481,6e-06,4498.24,4498.24,1,0,1,0,,780;772
1352,700.991,6e-06,87.6764,87.6764,2,0,2,0,,293;144
1377,720.487,6e-06,16.6162,16.6162,1,0,1,0,,70;15
1389,737.103,6e-06,2669.23,2669.23,1,1,1,1,,19;1377
1409,754.391,6e-06,2651.95,2651.95,0,0,0,0,,140;894
1435,788.667,6e-06,806.638,806.638,2,0,2,0,,1352;762
1966,1595.31,6e-06,3397.15,3397.15,2,0,2,0,,1435;25
2327,2753.48,6e-06,1033.04,1033.04,0,0,0,0,,1011;825
2443,3406.34,6e-06,380.186,380.186,0,1,0,1,,1389;1409
2504,3786.52,6e-06,1237.2,1237.2,0,0,0,0,,2327;2443
2647,4992.46,6e-06,15243.9,15243.9,1,0,1,0,,28;1966
2652,5023.72,6e-06,15212.6,15212.6,0,0,0,0,,2504;1143
3207,20236.3,6e-06,0,0,0,1,0,1,,2652;2647
