parent,child,weight
56,52,0.00248691
52,49,0.000594957
49,42,0.00102985
42,38,4.55338e-06
38,36,0.000686995
36,32,0.000809001
32,30,0.000122944
30,3,0.000159428
30,2,0.000159428
32,28,0.000154967
28,26,8.64846e-05
26,5,4.09201e-05
26,1,4.09201e-05
28,4,0.000127405
36,27,0.00104649
27,6,4.48845e-05
27,7,4.48845e-05
56,55,0.00248691
55,54,0.000795793
54,46,0.000829015
46,45,0.00016578
45,39,0.000658785
39,33,0.000575127
33,8,0.000383228
33,24,0.000350851
24,9,3.23775e-05
24,0,3.23775e-05
